mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
65362-16,WXT536,S2710187,2022-08-12T00:00:00Z,С-В/13-08-2021/87281066,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-87281066,2021-08-13T00:00:00Z,1774949356608159756,Нет данных
40333-09,WXT520,M3050750,2022-08-10T00:00:00Z,С-АШ/11-08-2021/86084724,Пригодно,WXT520,Метеостанции автоматические,2021,"ФБУ ""КРАСНОЯРСКИЙ ЦСМ""",True,1-86084724,2021-08-11T00:00:00Z,1774960726608183302,
40333-14,WXT520,M1430321,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977329,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87793854,2021-08-10T00:00:00Z,1774962153411837955,
40333-14,WXT520,L4920152,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977334,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87794661,2021-08-10T00:00:00Z,1774876467242467329,
40333-14,WXT520,L4920150,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977335,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87794748,2021-08-10T00:00:00Z,1774876467268681730,
40333-14,WXT520,L4920143,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977336,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87794807,2021-08-10T00:00:00Z,1774876467305381890,
40333-14,WXT520,M0940361,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977331,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87794159,2021-08-10T00:00:00Z,1774876467471056899,
40333-14,WXT520,N0230381,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977332,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87794434,2021-08-10T00:00:00Z,1774876467552845832,
40333-14,WXT520,N0230376,2022-08-09T00:00:00Z,С-БТЦ/10-08-2021/86977333,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-87794503,2021-08-10T00:00:00Z,1774876467561234438,
65362-16,WXT536,N2250017,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89212261,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89212261,2021-08-03T00:00:00Z,1774867304454029315,Нет данных
65362-16,WXT536,N2250014,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89211316,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89211316,2021-08-03T00:00:00Z,1774867305689251840,Нет данных
65362-16,WXT536,N2240563,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89211459,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89211459,2021-08-03T00:00:00Z,1774867305854926860,Нет данных
65362-16,WXT536,N3920136,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89211602,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89211602,2021-08-03T00:00:00Z,1774867306076176388,Нет данных
65362-16,WXT536,N3920138,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89211789,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89211789,2021-08-03T00:00:00Z,1774867306320494594,Нет данных
40333-09,Нет модификации,J3820002,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89173664,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89226587,2021-08-03T00:00:00Z,1774867327482855427,Нет данных
40333-09,Нет модификации,J2140010,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89173666,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89230254,2021-08-03T00:00:00Z,1774867336586592261,Нет данных
40333-09,Нет модификации,J3810006,2022-08-02T00:00:00Z,С-ГОУ/03-08-2021/89173670,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-89233319,2021-08-03T00:00:00Z,1774867339485904901,Нет данных
